,WeekType,Time,Station,Direction1,Direction2
225,WEEKDAY,1,NE1,0,0
226,WEEKDAY,1,NE2,0,0
227,WEEKDAY,1,NE3,0,0
228,WEEKDAY,1,NE4,0,0
229,WEEKDAY,1,NE5,0,0
230,WEEKDAY,1,NE6,0,0
231,WEEKDAY,1,NE7,0,0
232,WEEKDAY,1,NE8,0,0
233,WEEKDAY,1,NE9,0,0
234,WEEKDAY,1,NE10,0,0
235,WEEKDAY,1,NE11,0,0
236,WEEKDAY,1,NE12,0,0
237,WEEKDAY,1,NE13,0,0
238,WEEKDAY,1,NE14,0,0
239,WEEKDAY,1,NE15,0,0
240,WEEKDAY,1,NE16,0,0
241,WEEKDAY,1,NE17,0,0
242,WEEKDAY,1,CC1,0,0
243,WEEKDAY,1,CC2,0,0
244,WEEKDAY,1,CC3,0,0
245,WEEKDAY,1,CC4,0,0
246,WEEKDAY,1,CC5,0,0
247,WEEKDAY,1,CC6,0,0
248,WEEKDAY,1,CC7,0,0
249,WEEKDAY,1,CC8,0,0
250,WEEKDAY,1,CC9,0,0
251,WEEKDAY,1,CC10,0,0
252,WEEKDAY,1,CC11,0,0
253,WEEKDAY,1,CC12,0,0
254,WEEKDAY,1,CC13,0,0
255,WEEKDAY,1,CC14,0,0
256,WEEKDAY,1,CC15,0,0
257,WEEKDAY,1,CC16,0,0
258,WEEKDAY,1,CC17,0,0
259,WEEKDAY,1,CC18,0,0
260,WEEKDAY,1,CC19,0,0
261,WEEKDAY,1,CC20,0,0
262,WEEKDAY,1,CC21,0,0
263,WEEKDAY,1,CC22,0,0
264,WEEKDAY,1,CC23,0,0
265,WEEKDAY,1,CC24,0,0
266,WEEKDAY,1,CC25,0,0
267,WEEKDAY,1,CC26,0,0
268,WEEKDAY,1,CC27,0,0
269,WEEKDAY,1,CC28,0,0
270,WEEKDAY,1,CC29,0,0
271,WEEKDAY,1,DT1,0,0
272,WEEKDAY,1,DT2,0,0
273,WEEKDAY,1,DT3,0,0
274,WEEKDAY,1,DT4,0,0
275,WEEKDAY,1,DT5,0,0
276,WEEKDAY,1,DT6,0,0
277,WEEKDAY,1,DT7,0,0
278,WEEKDAY,1,DT8,0,0
279,WEEKDAY,1,DT9,0,0
280,WEEKDAY,1,DT10,0,0
281,WEEKDAY,1,DT11,0,0
282,WEEKDAY,1,DT12,0,0
283,WEEKDAY,1,DT13,0,0
284,WEEKDAY,1,DT14,0,0
285,WEEKDAY,1,DT15,0,0
286,WEEKDAY,1,DT16,0,0
287,WEEKDAY,1,DT17,0,0
288,WEEKDAY,1,DT18,0,0
289,WEEKDAY,1,DT19,0,0
290,WEEKDAY,1,DT20,0,0
291,WEEKDAY,1,DT21,0,0
292,WEEKDAY,1,DT22,0,0
293,WEEKDAY,1,DT23,0,0
294,WEEKDAY,1,DT24,0,0
295,WEEKDAY,1,DT25,0,0
296,WEEKDAY,1,DT26,0,0
297,WEEKDAY,1,DT27,0,0
298,WEEKDAY,1,DT28,0,0
299,WEEKDAY,1,DT29,0,0
300,WEEKDAY,1,DT30,0,0
301,WEEKDAY,1,DT31,0,0
302,WEEKDAY,1,DT32,0,0
303,WEEKDAY,1,DT33,0,0
304,WEEKDAY,1,DT34,0,0
305,WEEKDAY,1,DT35,0,0
306,WEEKDAY,1,TE1,0,0
307,WEEKDAY,1,NS9/TE2,0,0
308,WEEKDAY,1,TE3,0,0
309,WEEKDAY,1,TE4,0,0
310,WEEKDAY,1,TE5,0,0
311,WEEKDAY,1,TE6,0,0
312,WEEKDAY,1,TE7,0,0
313,WEEKDAY,1,TE8,0,0
314,WEEKDAY,1,CC17/TE9,0,0
315,WEEKDAY,1,TE10,0,0
316,WEEKDAY,1,DT10/TE11,0,0
317,WEEKDAY,1,TE12,0,0
318,WEEKDAY,1,TE13,0,0
319,WEEKDAY,1,TE14/NS22,0,0
320,WEEKDAY,1,TE15,0,0
321,WEEKDAY,1,TE16,0,0
322,WEEKDAY,1,EW16/NE3/TE17,0,0
323,WEEKDAY,1,TE18,0,0
324,WEEKDAY,1,TE19,0,0
